toi,pl_rade,pl_orbper,pl_trandurh,pl_trandeplim
1398.01,13.1465,6.5560604,2.703,0
1399.01,5.91488,1.3812787,2.4,0
140.01,12.7387194,2.2813432,1.1601933,0
1400.01,11.8401,5.48923,3.29,0
1401.01,23.6091,7.3845072,4.531,0
1402.01,6.69456,0.43889,0.947,0
1403.01,18.3852989,2.3359622,6.0165684,0
1404.01,2.4024,6.8674054,3.488,0
1404.02,3.73311,14.431887,3.265,0
1406.01,9.43898,10.5739824,4.04,0
1407.01,2.0515332,9.9783319,4.2281711,0
1408.01,8.3621,4.4247042,1.318,0
1408.02,1.39527,2.2222094,2.461,0
1409.01,15.2763,4.7182888,4.046,0
141.01,1.7202,1.0082361,1.41,0
1410.01,3.43106,1.2168732,0.86,0
1411.01,1.404,1.4520486,1.339,0
1412.01,6.97384,4.731977,0.361,0
1413.01,6.1579891,6.1182129,0.6671441,0
1414.01,17.9176077,3.0197807,3.5896763,0
1415.01,4.7909139,14.4204896,5.1737619,0
1416.01,1.60037,1.0697621,1.356,0
1417.01,19.9197757,3.0726434,2.2602485,0
1418.01,1.700035,0.6763235,4.916459,0
1419.01,10.0433,2.8997405,1.849,0
142.01,12.600718,0.8533534,1.2018737,0
1420.01,12.090823,6.9561134,3.3628003,0
1422.01,3.84805,13.001789,4.4847322,0
1423.01,6.4145519,2.7556532,3.3967282,0
1424.01,3.5246468,4.8962484,2.362418,0
1425.01,28.2906,1.0318213,1.599,0
1426.01,1.99,0.78999,1.153,0
1427.01,11.4222,12.80758,3.596,0
1428.01,12.9372,11.35626,6.047,0
1429.01,4.841202,0.6412558,1.1161082,0
143.01,17.30428,2.3109689,3.4303821,0
1430.01,1.97737,7.4341456,2.424,0
1431.01,15.9327,2.650232,2.03,0
1432.01,2.19963,6.1095756,2.441,0
1433.01,24.6478297,12.4379715,1.7137815,0
1434.01,2.4078494,29.871853,4.6960535,0
1435.01,0.9996714,0.6858178,1.3936363,0
1436.01,1.4302423,0.8675883,1.3814953,0
1437.01,2.00342,18.840891,5.765,0
1438.01,2.259057,5.1396666,0.8991981,0
1438.02,2.49195,9.4280902,1.377,0
1439.01,3.68027,27.6438617,5.321,0
144.01,1.99779,6.267832,2.789,0
1440.01,2.43592,15.5174519,5.322,0
1440.02,1.43332,4.6274206,4.6582573,0
1441.01,2.33525,22.092974,5.813,0
1442.01,1.1833779,0.4090681,0.6165726,0
1443.01,2.11441,23.5407467,4.025,0
1444.01,1.4344026,0.4702719,1.3258819,0
1445.01,2.67352,9.8130697,3.91,0
1445.02,2.14401,4.7842093,2.947,0
1446.01,2.4720516,6.3170657,2.4466954,0
1446.02,1.7133121,4.5057387,1.885675,0
1447.01,3.6075647,1.2273079,4.8114753,0
1448.01,2.6354043,8.0970819,3.127852,0
